utterance,intent
" have a question, can you call Customer Service?",contact_customer_service
 need help informing of issues paying,payment_issue
 need help modifying my profile,edit_account
" want to request some bills, tell me how to do it",get_invoice
"a error message pops when I try to pay, can you help me?",payment_issue
"a error pops when I try to pay for my online order, what should I do?",payment_issue
a error pops when I try to pay for my order,payment_issue
an error message pops when I attempt  to pay for my online order,payment_issue
an error message pops when I attempt to make a payment,payment_issue
an error message pops when I attempt to make a payment for my online order,payment_issue
"an error message pops when I attempt to make a payment for my online order , can you help me?",payment_issue
"an error message pops when I attempt to make a payment for my online order, what can I do?",payment_issue
"an error message pops when I attempt to make a payment for my online order, what do I have to do?",payment_issue
"an error message pops when I attempt to make a payment for my online order, what should I do?",payment_issue
an error message pops when I attempt to make a payment for my order,payment_issue
"an error message pops when i attempt to make a payment for my order, can u help me?",payment_issue
"an error message pops when I attempt to make a payment for my order, can you help me?",payment_issue
"an error message pops when I attempt to make a payment for my order, what can I do?",payment_issue
"an error message pops when I attempt to make a payment for my order, what do I have to do?",payment_issue
"an error message pops when I attempt to make a payment for my order, what should I do?",payment_issue
an error message pops when i attempt to make a payment with card,payment_issue
"an error message pops when I attempt to make a payment with card, can you help me?",payment_issue
"an error message pops when I attempt to make a payment with card, what can I do?",payment_issue
"an error message pops when I attempt to make a payment with card, what do I have to do?",payment_issue
"an error message pops when I attempt to make a payment with card, what should I do?",payment_issue
"an error message pops when I attempt to make a payment, can you help me?",payment_issue
"an error message pops when I attempt to make a payment, what can I do?",payment_issue
"an error message pops when I attempt to make a payment, what do I have to do?",payment_issue
"an error message pops when I attempt to make a payment, what should I do?",payment_issue
an error message pops when I attempt to pay,payment_issue
"an error message pops when I attempt to pay , what do I have to do?",payment_issue
"an error message pops when I attempt to pay for my online order, can you help me?",payment_issue
"an error message pops when I attempt to pay for my online order, what can I do?",payment_issue
"an error message pops when i attempt to pay for my online order, what do i have to do?",payment_issue
"an error message pops when i attempt to pay for my online order, what should i do?",payment_issue
an error message pops when I attempt to pay for my order,payment_issue
"an error message pops when I attempt to pay for my order, can you help me?",payment_issue
"an error message pops when I attempt to pay for my order, what can I do?",payment_issue
"an error message pops when I attempt to pay for my order, what do I have to do?",payment_issue
"an error message pops when I attempt to pay for my order, what should I do?",payment_issue
an error message pops when I attempt to pay with card,payment_issue
"an error message pops when I attempt to pay with card, can you help me?",payment_issue
"an error message pops when I attempt to pay with card, what can I do?",payment_issue
"an error message pops when I attempt to pay with card, what do I have to do?",payment_issue
"an error message pops when I attempt to pay with card, what should I do?",payment_issue
"an error message pops when I attempt to pay, can you help me?",payment_issue
"an error message pops when I attempt to pay, what can I do?",payment_issue
"an error message pops when i attempt to pay, what should i do?",payment_issue
an error message pops when i try to make a payment,payment_issue
"an error message pops when I try to make a payment , what should I do?",payment_issue
an error message pops when i try to make a payment for my online order,payment_issue
"an error message pops when I try to make a payment for my online order, can you help me?",payment_issue
"an error message pops when i try to make a payment for my online order, what can i do?",payment_issue
"an error message pops when I try to make a payment for my online order, what do I have to do?",payment_issue
"an error message pops when I try to make a payment for my online order, what should I do?",payment_issue
an error message pops when I try to make a payment for my order,payment_issue
"an error message pops when I try to make a payment for my order, can you help me?",payment_issue
"an error message pops when i try to make a payment for my order, what can i do?",payment_issue
"an error message pops when I try to make a payment for my order, what do I have to do?",payment_issue
"an error message pops when I try to make a payment for my order, what should I do?",payment_issue
an error message pops when I try to make a payment with card,payment_issue
"an error message pops when I try to make a payment with card, can you help me?",payment_issue
"an error message pops when I try to make a payment with card, what can I do?",payment_issue
"an error message pops when i try to make a payment with card, what do i have to do?",payment_issue
"an error message pops when I try to make a payment with card, what should I do?",payment_issue
"an error message pops when I try to make a payment, can you help me?",payment_issue
"an error message pops when i try to make a payment, what can i do?",payment_issue
"an error message pops when I try to make a payment, what do I have to do?",payment_issue
an error message pops when i try to pay,payment_issue
an error message pops when I try to pay for my online order,payment_issue
"an error message pops when i try to pay for my online order, can u help me?",payment_issue
"an error message pops when I try to pay for my online order, can you help me?",payment_issue
"an error message pops when I try to pay for my online order, what can I do?",payment_issue
"an error message pops when I try to pay for my online order, what do I have to do?",payment_issue
"an error message pops when I try to pay for my online order, what should I do?",payment_issue
an error message pops when I try to pay for my order,payment_issue
"an error message pops when i try to pay for my order, can u help me?",payment_issue
"an error message pops when I try to pay for my order, can you help me?",payment_issue
"an error message pops when I try to pay for my order, what can I do?",payment_issue
"an error message pops when I try to pay for my order, what do I have to do?",payment_issue
"an error message pops when I try to pay for my order, what should I do?",payment_issue
an error message pops when i try to pay with card,payment_issue
"an error message pops when I try to pay with card,  what should I do?",payment_issue
"an error message pops when I try to pay with card, can you help me?",payment_issue
"an error message pops when I try to pay with card, what can I do?",payment_issue
"an error message pops when I try to pay with card, what do I have to do?",payment_issue
"an error message pops when I try to pay, what can I do?",payment_issue
"an error message pops when I try to pay, what do I have to do?",payment_issue
"an error message pops when I try to pay, what should I do?",payment_issue
"an error poos when I try to make a payment, what can I do?",payment_issue
an error pops  when I try to make an payment with card,payment_issue
"an error pops when  I try to make a payment with card, what should I do?",payment_issue
an error pops when I attempt to make a payment,payment_issue
an error pops when I attempt to make a payment for my online order,payment_issue
"an error pops when I attempt to make a payment for my online order, can you help me?",payment_issue
"an error pops when i attempt to make a payment for my online order, what can i do?",payment_issue
"an error pops when I attempt to make a payment for my online order, what do I have  to do?",payment_issue
"an error pops when i attempt to make a payment for my online order, what do i have to do?",payment_issue
"an error pops when I attempt to make a payment for my online order, what should I do?",payment_issue
an error pops when I attempt to make a payment for my order,payment_issue
"an error pops when I attempt to make a payment for my order, can you help ne?",payment_issue
"an error pops when I attempt to make a payment for my order, what can I do?",payment_issue
"an error pops when i attempt to make a payment for my order, what do i have to do?",payment_issue
"an error pops when I attempt to make a payment for my order, what should I do?",payment_issue
an error pops when i attempt to make a payment with card,payment_issue
"an error pops when I attempt to make a payment with card, can you help me?",payment_issue
"an error pops when I attempt to make a payment with card, what can I do?",payment_issue
"an error pops when i attempt to make a payment with card, what do i have to do?",payment_issue
"an error pops when I attempt to make a payment with card, what should I do?",payment_issue
"an error pops when I attempt to make a payment, can you help me?",payment_issue
"an error pops when i attempt to make a payment, what can i do?",payment_issue
"an error pops when I attempt to make a payment, what do I have to do?",payment_issue
"an error pops when I attempt to make a payment, what should I do?",payment_issue
an error pops when I attempt to pay,payment_issue
an error pops when I attempt to pay for my online order,payment_issue
"an error pops when i attempt to pay for my online order, can u help me?",payment_issue
"an error pops when I attempt to pay for my online order, can you help me?",payment_issue
"an error pops when I attempt to pay for my online order, what can I do?",payment_issue
"an error pops when I attempt to pay for my online order, what do I have to do?",payment_issue
"an error pops when I attempt to pay for my online order, what should I do?",payment_issue
an error pops when I attempt to pay for my order,payment_issue
"an error pops when I attempt to pay for my order, can you help me?",payment_issue
"an error pops when I attempt to pay for my order, what can I do?",payment_issue
"an error pops when I attempt to pay for my order, what do I have to do?",payment_issue
